listing_id,price,accommodates,bedrooms,bathrooms,room_type,property_type,review_scores_rating,booking_rate,weekend_booking_rate,summer_booking_rate,winter_booking_rate,total_review_count,recent_review_count,avg_review_length,estimated_annual_revenue,log_revenue
2384,119.0,1,1.0,1.0,Private room,Private room in condo,4.99,0.04657534246575343,0.04807692307692308,0.0,0.0,257.0,10.0,378.6420233463035,2023.0,7.6128310304073565
7126,89.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.73,0.1726027397260274,0.18269230769230768,0.08695652173913043,0.07777777777777778,595.0,47.0,267.31596638655463,5607.0,8.631949428714426
10945,203.0,4,2.0,1.0,Entire home/apt,Entire rental unit,4.74,0.1095890410958904,0.11538461538461539,0.0,0.0,129.0,24.0,238.8372093023256,8120.0,9.002208578282412
12140,339.0,3,1.0,1.0,Private room,Room in boutique hotel,4.95,0.5726027397260274,0.6057692307692307,1.0,0.0,19.0,3.0,251.6315789473684,70851.0,11.168348473372488
28749,258.0,6,3.0,2.0,Entire home/apt,Entire loft,4.83,0.7972602739726027,0.8076923076923077,1.0,0.7666666666666667,265.0,37.0,308.388679245283,75077.99999999999,11.22629617148548
71930,80.0,2,1.0,1.0,Private room,Private room in rental unit,4.89,0.06027397260273973,0.057692307692307696,0.0,0.0,141.0,18.0,330.8156028368794,1760.0,7.473637108496206
94450,117.0,1,1.0,1.0,Entire home/apt,Entire rental unit,4.95,0.0821917808219178,0.09615384615384616,0.0,0.0,39.0,9.0,329.3333333333333,3510.0,8.163656176168432
145690,270.0,10,4.0,2.0,Entire home/apt,Entire rental unit,4.78,0.09315068493150686,0.09615384615384616,0.0,0.0,86.0,1.0,217.2325581395349,9180.000000000002,9.1248914101437
189821,220.0,5,2.0,1.0,Entire home/apt,Entire rental unit,4.95,0.10684931506849316,0.11538461538461539,0.0,0.06666666666666667,712.0,40.0,352.4620786516854,8580.0,9.057305735807121
207218,125.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.9,0.22465753424657534,0.21153846153846154,0.0,0.13333333333333333,321.0,2.0,371.7507788161994,10250.0,9.235130540783402
207351,50.0,1,1.0,1.0,Entire home/apt,Entire place,4.92,0.5123287671232877,0.5192307692307693,1.0,0.0,49.0,1.0,327.51020408163265,9350.0,9.143238568435446
220333,125.0,2,2.0,1.0,Entire home/apt,Entire rental unit,4.88,0.36164383561643837,0.3557692307692308,0.0,0.6888888888888889,8.0,2.0,182.75,16500.0,9.711176264112805
225314,87.0,1,1.0,1.0,Private room,Private room in home,4.94,0.873972602739726,0.875,1.0,0.7222222222222222,32.0,2.0,432.40625,27752.999999999996,10.231135252930956
233933,58.0,2,1.0,1.0,Private room,Private room in home,4.83,0.8383561643835616,0.8653846153846154,1.0,0.7777777777777778,220.0,31.0,383.32272727272726,17748.0,9.784084455288346
250354,170.0,2,2.0,1.0,Entire home/apt,Entire condo,4.84,0.01643835616438356,0.019230769230769232,0.0,0.0,35.0,0.0,390.48571428571427,1019.9999999999999,6.928537818164665
264547,228.0,3,2.0,1.5,Entire home/apt,Entire condo,4.84,0.5178082191780822,0.5192307692307693,0.0,1.0,63.0,0.0,398.6190476190476,43091.99999999999,10.67111584990838
345075,116.0,2,1.0,1.0,Private room,Private room in condo,4.97,0.06027397260273973,0.07692307692307693,0.0,0.0,304.0,14.0,367.2993421052632,2552.0,7.845024417241484
350347,193.0,4,2.0,2.0,Entire home/apt,Entire loft,4.88,0.2410958904109589,0.27884615384615385,0.29347826086956524,0.18888888888888888,823.0,55.0,324.44471445929526,16984.0,9.740085880594684
372929,249.0,12,3.0,3.0,Entire home/apt,Entire home,4.85,0.0684931506849315,0.09615384615384616,0.0,0.0,326.0,26.0,309.25766871165644,6224.999999999999,8.736489351001554
404792,126.0,3,2.0,1.0,Entire home/apt,Entire rental unit,4.51,0.7780821917808219,0.7788461538461539,1.0,0.6555555555555556,227.0,6.0,328.04405286343615,35784.0,10.485284090172698
464581,106.0,4,1.0,1.0,Entire home/apt,Entire rental unit,4.81,0.10410958904109589,0.09615384615384616,0.0,0.0,649.0,2.0,299.7981510015408,4028.0,8.301273485191347
507517,91.0,4,1.0,1.0,Entire home/apt,Entire guest suite,4.92,0.27123287671232876,0.3173076923076923,0.1956521739130435,0.26666666666666666,455.0,37.0,280.15384615384613,9009.0,9.106090350602384
542067,168.0,3,2.0,1.0,Entire home/apt,Entire rental unit,4.88,0.2493150684931507,0.25,0.0,0.24444444444444444,319.0,14.0,377.141065830721,15288.0,9.634888894560614
584590,55.0,2,1.0,1.0,Private room,Private room in rental unit,4.57,0.8383561643835616,0.8269230769230769,1.0,0.7666666666666667,57.0,3.0,354.49122807017545,16830.0,9.730977703126166
634310,64.0,2,1.0,1.0,Private room,Private room in condo,4.92,0.21095890410958903,0.22115384615384615,0.0,0.34444444444444444,158.0,21.0,361.69620253164555,4928.0,8.502891406705377
640841,264.0,4,2.0,2.5,Entire home/apt,Entire condo,4.98,0.7397260273972602,0.7307692307692307,1.0,0.6444444444444445,112.0,15.0,312.19642857142856,71280.0,11.174385091226979
651742,69.0,2,1.0,1.0,Private room,Private room in home,4.94,0.030136986301369864,0.038461538461538464,0.0,0.0,130.0,13.0,235.54615384615386,759.0000000000001,6.633318433280377
662034,60.0,1,1.0,1.0,Private room,Private room in home,4.94,0.024657534246575342,0.028846153846153848,0.0,0.0,111.0,14.0,273.63963963963965,540.0,6.293419278846481
681842,53.0,2,1.0,1.0,Private room,Private room in condo,4.91,0.10410958904109589,0.09615384615384616,0.0,0.0,33.0,3.0,447.4848484848485,2014.0,7.608374474380783
697634,109.0,4,2.0,1.0,Entire home/apt,Entire rental unit,4.87,0.43561643835616437,0.4230769230769231,0.6630434782608695,0.2111111111111111,162.0,2.0,422.5617283950617,17331.0,9.7603097828598
726376,130.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.69,0.7643835616438356,0.7596153846153846,1.0,0.17777777777777778,905.0,59.0,259.0828729281768,36269.99999999999,10.498773802892188
729566,79.0,2,1.0,1.0,Entire home/apt,Entire condo,5.0,0.7479452054794521,0.75,0.6630434782608695,1.0,5.0,0.0,405.4,21567.0,9.978966013712034
732569,192.0,5,2.0,1.0,Entire home/apt,Entire rental unit,4.43,0.8712328767123287,0.8653846153846154,1.0,1.0,161.0,4.0,320.5217391304348,61056.0,11.019563133080542
739495,273.0,4,2.0,1.0,Entire home/apt,Entire rental unit,4.87,0.33424657534246577,0.33653846153846156,0.7934782608695652,0.05555555555555555,218.0,1.0,371.9403669724771,33306.0,10.413522864087675
755701,125.0,5,3.0,1.0,Entire home/apt,Entire rental unit,4.81,0.336986301369863,0.33653846153846156,0.45652173913043476,0.14444444444444443,33.0,3.0,499.4848484848485,15375.000000000002,9.640563131210074
863120,73.0,2,3.0,2.5,Private room,Private room in condo,4.94,0.9260273972602739,0.9230769230769231,0.9565217391304348,1.0,174.0,19.0,296.1551724137931,24673.999999999996,10.113545864301683
960326,262.0,6,3.0,2.0,Entire home/apt,Entire condo,4.93,0.10136986301369863,0.125,0.0,0.022222222222222223,497.0,46.0,260.4989939637827,9694.0,9.179365567676752
966137,120.0,5,2.0,1.0,Entire home/apt,Entire home,4.75,0.8438356164383561,0.8365384615384616,1.0,0.7666666666666667,41.0,0.0,442.9756097560976,36960.0,10.517618581666662
979841,81.0,2,1.0,1.5,Private room,Private room in home,4.98,0.12602739726027398,0.14423076923076922,0.0,0.022222222222222223,374.0,40.0,330.24064171122996,3726.0,8.223358899479258
979926,73.0,2,1.0,1.5,Private room,Private room in home,4.98,0.16164383561643836,0.17307692307692307,0.0,0.044444444444444446,410.0,43.0,297.5,4307.0,8.36822903827628
979942,73.0,2,1.0,1.5,Private room,Private room in home,4.94,0.1232876712328767,0.1346153846153846,0.0,0.022222222222222223,367.0,33.0,317.01089918256133,3285.0,8.097426298597213
983640,179.0,4,2.0,1.0,Entire home/apt,Entire rental unit,4.95,0.1178082191780822,0.125,0.0,0.022222222222222223,318.0,33.0,379.8333333333333,7697.0,8.948715833843691
1020810,115.0,2,1.0,1.0,Entire home/apt,Entire rental unit,4.67,0.2547945205479452,0.23076923076923078,0.0,0.6444444444444445,43.0,2.0,322.95348837209303,10695.0,9.27762511878178
1083987,120.0,2,1.0,1.0,Entire home/apt,Entire rental unit,5.0,0.6164383561643836,0.5961538461538461,0.0,1.0,17.0,1.0,233.23529411764707,27000.0,10.203629181337648
1185749,166.0,6,3.0,1.0,Entire home/apt,Entire condo,4.87,0.4602739726027397,0.46153846153846156,0.8043478260869565,0.34444444444444444,388.0,16.0,292.2319587628866,27888.0,10.23598762483351
1195259,118.0,3,2.0,1.0,Entire home/apt,Entire rental unit,4.9,0.07123287671232877,0.08653846153846154,0.0,0.0,225.0,11.0,397.9288888888889,3068.0,8.029107054619736
1304049,45.0,2,1.0,1.0,Private room,Private room in home,4.66,0.2493150684931507,0.25,0.0,0.23333333333333334,126.0,2.0,331.6587301587302,4095.0000000000005,8.317766166719343
1321332,627.0,16,4.0,3.5,Entire home/apt,Entire home,4.83,0.1643835616438356,0.23076923076923078,0.043478260869565216,0.05555555555555555,121.0,5.0,235.63636363636363,37620.0,10.535317684107266
1356190,107.0,2,1.0,1.0,Private room,Private room in home,4.97,0.37534246575342467,0.41346153846153844,0.07608695652173914,0.8555555555555555,510.0,49.0,286.1745098039216,14659.0,9.592877975440642
1392594,200.0,6,3.0,2.0,Entire home/apt,Entire home,4.63,0.4876712328767123,0.49038461538461536,0.0,0.9,36.0,4.0,428.44444444444446,35600.0,10.480129006333248
1461451,22.0,1,1.0,2.0,Shared room,Shared room in rental unit,4.64,0.29863013698630136,0.3173076923076923,0.7934782608695652,0.0,213.0,13.0,242.7511737089202,2398.0,7.782807262839695
1502674,209.0,4,2.0,1.0,Entire home/apt,Entire rental unit,4.84,0.12602739726027398,0.125,0.10869565217391304,0.0,161.0,27.0,301.67080745341616,9614.0,9.17107965802288
1554433,45.0,2,1.0,1.5,Private room,Private room in bungalow,4.85,0.16164383561643836,0.15384615384615385,0.0,0.0,199.0,0.0,282.1859296482412,2655.0,7.884576510596324
1573401,55.0,4,1.0,1.0,Private room,Private room in home,4.91,0.8191780821917808,0.8076923076923077,1.0,0.5777777777777777,464.0,53.0,230.56465517241378,16445.0,9.707837565530841
1584422,480.0,10,3.0,2.0,Entire home/apt,Entire rental unit,4.95,0.0547945205479452,0.0673076923076923,0.0,0.0,59.0,8.0,353.7457627118644,9600.0,9.169622538697624
1591370,156.0,6,1.0,1.0,Entire home/apt,Entire rental unit,4.83,0.0410958904109589,0.04807692307692308,0.0,0.0,217.0,13.0,284.3271889400922,2340.0,7.75833346749091
1614802,75.0,3,1.0,1.0,Entire home/apt,Entire guest suite,4.91,0.2410958904109589,0.27884615384615385,0.09782608695652174,0.2111111111111111,420.0,42.0,288.8833333333333,6600.0,8.79497643168877
